,user,movie,rate
1717398,317364,12706,3
1719053,244295,10080,4
989201,172493,38,3
417569,200850,24726,4
382132,11977,18148,5
1026291,541218,13716,3
125112,72939,7254,4
1469855,287383,10185,3
413631,38069,9,3
823451,475726,6751,2
206607,79903,16869,4
1146516,80993,1001,4
149424,31193,16073,2
1746399,613492,204,4
436210,103843,13314,5
1450447,32051,122,4
1770323,18343,12519,3
985922,264703,18311,4
1587218,639347,97,4
1440509,61429,6699,3
234197,151265,6238,4
1577577,384540,10611,4
62091,55427,15445,2
596289,247911,20967,4
441196,218506,5952,3
947750,279163,16916,3
1308731,335003,6802,4
1599342,153,3292,4
1235360,351409,306,4
960268,484372,15406,3
1278694,398750,242,5
1055373,226731,9,3
1775486,677254,1303,4
40692,1130,5684,4
724441,404887,213,5
1062623,116303,13955,5
1365988,176356,3868,5
418923,285191,2388,3
1378998,327804,12236,3
845085,410654,23811,2
1745299,430392,18247,4
398580,271406,10833,3
337652,9293,7218,5
1358692,592207,8089,4
623666,65398,919,4
79396,70384,2331,3
481133,325340,38,5
1105688,234337,8601,5
1003748,69593,25664,3
1170028,373596,2689,5
736603,443507,15394,4
1105527,479017,18853,2
548151,364293,3343,4
68942,61489,6897,4
1263086,295418,726,3
19023,14547,6450,3
1516105,85864,60,2
1266719,487139,559,4
1309987,603919,1207,3
60049,53579,15181,4
233932,151064,8705,5
28433,23763,1314,3
367935,215270,19990,3
1147865,552942,11277,3
257237,168719,1042,2
98735,52190,17178,3
1038536,176551,3689,4
141209,80272,3973,4
1420400,625440,4213,4
1607038,655118,7838,3
399441,121573,22039,4
644945,359876,1363,3
705819,431849,19993,4
269780,178186,13528,3
684251,21430,2892,4
130440,64076,277,4
682269,79235,18942,4
1618644,339416,19837,3
1020095,45938,651,4
1564556,101104,16860,4
1106474,204459,6625,4
750943,311466,611,5
1602702,648587,7892,3
290470,193712,3725,4
1730435,115807,6473,4
1537395,309308,576,2
844566,217113,369,4
1510476,195456,9833,3
1600671,138080,3435,3
1377599,561818,6251,4
728208,270590,4507,5
246371,13701,20479,4
241905,157098,4624,4
1629206,18015,97,5
973650,95263,369,4
592581,389007,7669,4
1125103,201719,1637,3
634076,404828,14153,4
23706,19161,9539,2
783175,364712,1001,4
1173787,63119,4026,3
426353,290211,889,4
835032,73466,326,4
1224302,400456,4067,4
1602736,390686,19288,3
190199,117914,1320,2
36113,13452,12234,3
333457,225306,18914,4
1039884,24164,12580,3
1622070,632546,11874,4
711692,434139,538,4
753406,449828,342,3
37867,32907,1113,4
937226,514654,38,3
337131,227969,11249,5
1508574,364752,5894,4
801859,5319,618,4
388888,264762,4843,3
1629101,116707,22328,4
155043,90929,11380,4
1219652,585182,196,4
1096706,146823,1531,4
1422576,625829,12073,4
1246651,345728,7624,4
801618,467793,3327,3
920110,53,3235,3
189592,117453,40,4
335279,226623,982,4
1619019,569703,1671,4
270386,178660,4346,3
826654,476896,5666,4
343916,232890,21314,3
1632331,394767,17180,3
1403540,476224,201,4
1509827,41870,343,4
262769,172894,2285,3
1057619,543117,18254,4
273722,181172,24896,3
1062454,508708,925,5
815454,472869,2421,4
1097260,458479,21309,3
34465,29612,11422,4
399724,272191,89,4
895906,501168,19244,4
1710671,372454,373,4
968015,524301,500,4
1572010,398917,204,4
1608437,300539,732,5
1517838,371266,242,3
674571,398762,2477,3
149861,22709,242,4
835918,480197,1548,4
96480,50195,9202,4
336059,2481,4650,3
590078,387715,22923,4
590065,387705,1899,4
1114217,563333,17606,4
1198899,220804,2908,4
866482,447484,1171,4
1739075,486389,199,4
648006,389917,10678,4
1163971,237624,11544,3
652315,370043,18265,3
588110,386616,12161,4
1365126,24533,156,3
756622,151090,226,3
1001465,534250,50,4
457123,310195,25575,3
4383,329,301,2
1779984,662846,26794,3
1680325,664844,11,3
1259491,593659,18212,4
757827,21945,25255,3
1659247,599602,4180,4
548728,332348,1152,4
126142,73344,20736,4
352932,239426,9369,4
960544,491230,11448,3
809327,85992,11159,3
61047,54476,2660,4
578198,381004,1426,3
1495727,349234,21306,3
815635,93170,466,3
450678,237551,4974,3
454158,308291,881,4
455324,309052,204,5
909710,505772,397,4
1660830,413380,7183,4
18473,13997,24,3
1597347,469919,22229,3
825181,277359,6005,3
335548,37192,316,4
1124330,274852,89,4
1491768,637925,8264,3
989033,530647,1966,3
250372,73325,884,3
766864,454853,7766,4
1571248,293200,199,4
802939,320668,20772,4
1336363,563744,559,3
599446,391996,611,4
85323,40046,15402,3
67121,59929,9,3
1728381,553658,163,3
613889,397389,881,4
551876,311549,25275,4
22768,18238,224,4
1261368,135052,18747,3
1528303,643743,4146,4
182075,111657,373,5
897137,501568,11228,4
1294481,35492,3263,4
1684833,103168,21512,4
1552874,136606,216,4
445339,208651,2226,4
1088882,304037,551,4
469526,318055,671,3
1767997,15929,15021,3
193262,120245,1899,4
1441852,68032,4455,4
1399236,163929,21897,4
1650301,576944,1737,3
1055546,230220,9090,4
725496,439374,25085,4
690100,402428,21953,3
1045131,546256,1015,3
720463,437474,11804,4
232255,149826,20923,3
953149,519744,8438,4
618435,399069,8589,3
1780390,350510,201,4
444529,12165,17742,4
1480543,26477,20634,5
917581,473608,71,3
1137656,568082,18497,3
103968,39672,15314,4
396778,270169,24329,4
669247,399123,13598,4
670585,353071,8244,4
39421,34404,8493,4
612871,397009,235,3
1595422,316921,1906,3
1325440,607140,63,5
1253829,270423,576,3
1700142,35049,22366,3
36594,31674,1207,4
568352,375435,18939,3
671487,262977,213,4
988637,530528,163,5
738616,322160,373,4
1392193,515472,3188,3
1586703,466110,22735,4
1766012,649682,23227,3
626404,335625,1078,4
1390192,594531,8309,5
524590,322467,2727,4
330343,223054,369,5
1728011,41330,1688,3
1276465,597005,722,4
1350046,585703,473,3
1063096,551202,5844,3
1661521,32551,9498,3
81453,16882,101,5
1304253,481678,1160,4
1759223,60964,1844,3
763470,359544,18945,4
630061,112292,5764,4
688530,359430,4749,4
915230,56120,338,4
1466355,49091,6456,4
629374,352332,801,4
533842,320634,5902,4
105342,40970,264,5
550668,365653,11864,5
901850,503170,1551,3
600620,392403,18498,4
877464,256914,16212,3
1264790,201723,18876,3
1081962,497070,12609,4
648873,391903,163,4
672907,392622,1863,3
1513027,641362,5454,4
644871,357322,17673,3
1142676,533102,13001,4
189232,117180,480,4
1267873,230354,22123,4
539609,52632,5636,3
1749187,584556,1122,3
1762736,205841,11434,4
771886,456714,10454,4
1610701,123867,12516,3
857299,413045,318,4
682184,369900,1700,4
1006511,535681,12046,4
131156,64683,119,4
1249201,66632,21528,5
1749552,107016,268,4
1775919,427548,1671,5
91335,45498,1308,4
221464,141636,9024,4
1773406,250408,4232,4
1244611,188385,10679,3
1077820,538068,190,3
647464,239666,5394,4
787415,378489,20028,3
1323342,466469,278,4
992603,249990,122,4
1178873,481615,7526,3
372446,253241,6884,3
1342460,555529,15452,3
399901,31965,191,4
1682057,230703,14362,3
112509,64313,17198,3
1602986,629264,2406,4
1234282,242523,12703,4
1478341,635762,3586,5
833979,98139,14106,3
888775,192503,13415,4
960430,497189,1844,2
171577,55081,13812,3
1486788,109627,2488,4
1270948,407120,10886,3
686493,262748,21818,4
565742,236590,21,4
1699924,366909,8568,3
1247287,365834,1875,4
1537139,41668,515,3
1635455,68584,553,4
310424,208446,11675,4
1151146,490952,919,4
1709418,36522,11029,4
209861,132845,4788,3
1678649,77885,24,3
74901,18824,17505,3
1756436,551556,1844,4
1159053,352523,1649,5
1580866,308801,2118,4
926941,511366,14231,4
1377971,505208,8633,4
1267663,50478,879,4
420553,286289,661,4
1601873,334195,10797,4
298974,7066,99,5
1185839,64899,5030,3
1370255,100296,316,4
203827,53074,242,5
861385,489258,8714,3
984232,337964,50,5
1300630,240457,4386,4
719681,437175,12006,3
1314421,133976,8998,4
1132436,566996,21153,3
807301,128285,175,3
1058330,346724,15828,4
316610,213016,866,4
1284442,130388,18674,4
1729991,578476,2509,4
475082,321583,948,4
384098,173994,413,4
785769,354681,258,5
1687738,470761,6969,3
175253,58141,193,3
1230714,169778,621,4
1661300,457236,11189,4
579171,351312,1001,4
373187,134850,21435,4
1751467,539638,542,2
1154752,535625,1930,3
567108,374718,197,4
769105,52979,213,3
757265,369899,8261,3
168239,101083,129,4
196270,17928,24284,3
1226747,66581,1277,4
1562092,239733,7288,3
1294276,493839,6481,4
777615,175044,20853,4
1310097,73149,49,4
649292,285262,9823,2
1111164,562743,3869,4
1668755,614053,250,4
290587,193795,7532,3
557049,369147,1688,2
897714,383090,277,4
1393893,25262,1874,4
1754805,192213,13994,3
1730340,255845,819,4
822643,363313,222,4
1245918,572884,1844,4
1021487,267090,40,4
500762,337241,1601,3
1127409,119709,258,4
326312,220148,363,4
207394,69895,13774,5
305029,162236,8362,5
1712081,668989,611,4
1743444,582129,508,3
672823,71124,8011,3
540227,41230,17466,4
454467,308496,326,3
196040,122356,2868,3
174062,105540,1426,4
819049,363628,11420,4
1272021,596098,11733,4
140539,79753,19858,3
1718263,193577,8374,4
845665,127269,343,3
180234,110271,14780,3
784474,223107,536,2
405413,276068,14302,4
482255,275721,16836,4
1131118,246307,242,5
1413301,399390,799,3
628975,352257,12534,1
234811,151726,1230,4
1664374,113426,50,5
1406831,506838,2787,4
940865,357468,20355,4
1347168,153927,651,2
673764,71072,14482,4
388764,264670,675,4
1079754,137344,13846,4
388754,264663,122,5
465562,18281,175,3
710454,331271,1166,3
333692,121465,2898,3
